Code,FundClusterCode,FinancingSource,Authorization,FundCategory,FundSubCategory,Description,DepartmentName,AgencyName
01101101,01,General Fund,New General Appropriations,Specific Budgets of National Government Agencies,Specific Budgets of National Government Agencies,,,
01101111,01,General Fund,New General Appropriations,Specific Budgets of National Government Agencies,ARMM-DepEd's GSIS Contribution,,,
01101252,01,General Fund,New General Appropriations,Allocations to Local Government Units,Special Shares of LGUs in the Proceeds of National Taxes,,,
01101253,01,General Fund,New General Appropriations,Allocations to Local Government Units,Barangay Officials Death Benefits Fund,,,
01101254,01,General Fund,New General Appropriations,Allocations to Local Government Units,Local Government Support Fund (formerly Financial Subsidy to LGUs),,,
01101255,01,General Fund,New General Appropriations,Allocations to Local Government Units,Special Shares of LGUs in the Proceeds of Fire Code Fees,,,
01101256,01,General Fund,New General Appropriations,Allocations to Local Government Units,Barangay Officials Death Benefits,,,
01101257,01,General Fund,New General Appropriations,Allocations to Local Government Units,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),,,
01101276,01,General Fund,New General Appropriations,Budgetary Support to Government Corporations,Equity Contribution,,Budgetary Support to Government Corporations (BSGC),
01101277,01,General Fund,New General Appropriations,Budgetary Support to Government Corporations,Subsidies,,,
01101278,01,General Fund,New General Appropriations,Budgetary Support to Government Corporations,Loans,,,
01101279,01,General Fund,New General Appropriations,Budgetary Support to Government Corporations,Advances,,,
01101301,01,General Fund,New General Appropriations,Financial Assistance to Metropolitan Manila Development Authority,Subsidies,,,
01101401,01,General Fund,New General Appropriations,Special Purpose Funds,National Disaster Risk Reduction and Management Fund ( Calamity Fund ),,,
01101402,01,General Fund,New General Appropriations,Special Purpose Funds,Contingent Fund,,,
01101403,01,General Fund,New General Appropriations,Special Purpose Funds,DepEd - School Building Program/Educational Facilities Fund,,Department of Education (DepEd),Office of the Secretary
01101404,01,General Fund,New General Appropriations,Special Purpose Funds,E-Government Fund,,,
01101405,01,General Fund,New General Appropriations,Special Purpose Funds,International Commitments Fund,,,
01101406,01,General Fund,New General Appropriations,Special Purpose Funds,Miscellaneous Personnel Benefits Fund,,,
01101407,01,General Fund,New General Appropriations,Special Purpose Funds,Pension and Gratuity Fund,,,
